Created at,Total,Subtotal,item_count,total_7d_avg,items_7d_avg,total_7d_std,items_30d_avg,total_30d_avg,total_30d_std,total_90d_avg,items_90d_avg,total_90d_std,total_prev_day,total_prev_week,total_prev_month,total_prev_season,items_prev_day,items_prev_week,items_prev_month,items_prev_season,total_growth_1d,total_growth_1w,total_growth_1m,total_growth_1s,quarter,day_of_year,week_of_year,week_sin,week_cos,year_sin,year_cos,avg_order_value,avg_items_per_order,days_to_next_shopping_holiday,next_shopping_holiday,pre_holiday_period
2022-11-01 00:00:00+02:00,8226.94,7826.9400000000005,47,,,,,,,,,,,,,,,,,,,,,,4,305,44,0.7818314824680298,0.6234898018587336,-0.858763958275803,0.5123714121284235,711.5400000000001,4.2727272727272725,,,0
2022-11-02 00:00:00+02:00,12499.8,11899.8,51,,,,,,,,,,7826.9400000000005,,,,47.0,,,,0.5203642802934478,,,,4,306,44,0.9749279121818236,-0.22252093395631434,-0.8498170915275277,0.5270777086423724,915.3692307692307,3.923076923076923,,,0
2022-11-03 00:00:00+02:00,8859.89,8309.89,39,,,,,,,,,,11899.8,,,,51.0,,,,-0.30167817946520115,,,,4,307,44,0.43388373911755823,-0.900968867902419,-0.8406184056344783,0.5416278206559811,692.4908333333333,3.25,,,0
2022-11-04 00:00:00+02:00,9996.93,9746.93,39,,,,,,,,,,8309.89,,,,39.0,,,,0.1729312903058886,,,,4,308,44,-0.433883739117558,-0.9009688679024191,-0.8311706263658079,0.5560174366570446,886.0845454545455,3.5454545454545454,,,0
2022-11-05 00:00:00+02:00,13578.82,12848.82,64,,,,,,,,,,9746.93,,,,39.0,,,,0.3182427697746879,,,,4,309,44,-0.9749279121818236,-0.2225209339563146,-0.8214765533024145,0.5702422926917867,755.8129411764705,3.764705882352941,,,0
2022-11-06 00:00:00+02:00,15894.89,15164.89,82,,,,,,,,,,12848.82,,,,64.0,,,,0.18025546314758856,,,,4,310,44,-0.7818314824680299,0.6234898018587334,-0.8115390590073611,0.5842981736283683,722.1376190476191,3.9047619047619047,,,0
2022-11-07 00:00:00+02:00,9945.92,9465.92,63,10751.884285714286,55.0,2657.434280710482,,,,,,,15164.89,,,,82.0,,,,-0.3758002860554873,,,,4,311,45,0.0,1.0,-0.8013610881746769,0.5981809144059159,728.1476923076923,4.846153846153846,,,0
2022-11-08 00:00:00+02:00,10616.880000000001,9916.880000000001,64,11050.447142857143,57.42857142857143,2376.611606283999,,,,,,,9465.92,7826.9400000000005,,,63.0,47.0,,,0.047640377269193124,0.26701878384145017,,,4,312,45,0.7818314824680298,0.6234898018587336,-0.7909456567567774,0.6118864012687242,708.3485714285715,4.571428571428571,,,0
2022-11-09 00:00:00+02:00,14919.74,14359.74,82,11401.867142857143,61.857142857142854,2684.9966848627228,,,,,,,9916.880000000001,11899.8,,,64.0,51.0,,,0.44800985793919046,0.20672112136338439,,,4,313,45,0.9749279121818236,-0.22252093395631434,-0.780295851070776,0.6254105729852457,844.6905882352941,4.823529411764706,,,0
2022-11-10 00:00:00+02:00,5767.91,5517.91,47,11003.012857142856,63.0,3346.6968542316185,,,,,,,14359.74,8309.89,,,82.0,39.0,,,-0.6157374715698195,-0.33598278677575755,,,4,314,45,0.43388373911755823,-0.900968867902419,-0.7694148268839381,0.6387494220515268,689.73875,5.875,,,0
2022-11-11 00:00:00+02:00,15819.89,15469.89,74,11820.57857142857,68.0,3671.9347849575097,,,,,,,5517.91,9746.93,,,47.0,39.0,,,1.8035778039148882,0.5871551350014823,,,4,315,45,-0.433883739117558,-0.9009688679024191,-0.7583058084785625,0.6518989958787125,1031.326,4.933333333333334,,,0
2022-11-12 00:00:00+02:00,12731.95,12381.95,66,11753.882857142858,68.28571428571429,3654.343297300325,,,,,,,15469.89,12848.82,,,74.0,64.0,,,-0.19960969341087742,-0.03633563237713655,,,4,316,45,-0.9749279121818236,-0.2225209339563146,-0.7469720876965551,0.6648553979642867,825.4633333333334,4.4,,,0
2022-11-13 00:00:00+02:00,22111.87,21701.87,78,12687.737142857144,67.71428571428571,5185.689303013677,,,,,,,12381.95,15164.89,,,66.0,82.0,,,0.7527021188100418,0.43106016594911,,,4,317,45,-0.7818314824680299,0.6234898018587334,-0.7354170229639858,0.6776147890466887,1446.7913333333333,5.2,,,0
2022-11-14 00:00:00+02:00,11703.93,11473.93,41,12974.595714285717,64.57142857142857,5030.99474064476,,,,,,,21701.87,9465.92,,,78.0,63.0,,,-0.4712930268221125,0.21213046381123024,,,4,318,46,0.0,1.0,-0.7236440382959123,0.690173388242972,1043.0845454545454,3.727272727272727,,,0
2022-11-15 00:00:00+02:00,5049.93,4849.93,34,12250.745714285715,60.285714285714285,5843.205517299151,,,,,,,11473.93,9916.880000000001,,,41.0,64.0,,,-0.5773087337991429,-0.510941949484112,,,4,319,46,0.7818314824680298,0.6234898018587336,-0.7116566222817751,0.7025274741691566,692.8471428571429,4.857142857142857,,,0
2022-11-16 00:00:00+02:00,18763.93,18313.93,61,12815.630000000001,57.285714285714285,6257.515365489193,,,,,,,4849.93,14359.74,,,34.0,82.0,,,2.7761225419748325,0.27536640635554677,,,4,320,46,0.9749279121818236,-0.22252093395631434,-0.6994583270516471,0.7146733860429608,963.891052631579,3.210526315789474,,,0
2022-11-17 00:00:00+02:00,6477.96,6277.96,28,12924.208571428573,54.57142857142857,6114.748263873797,,,,,,,18313.93,5517.91,,,61.0,47.0,,,-0.6572030143175167,0.1377423698465543,,,4,321,46,0.43388373911755823,-0.900968867902419,-0.6870527672236675,0.726607524768565,697.5511111111111,3.111111111111111,,,0
